Tên đơn vị,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Toàn Thành phố ,12.95,11.77,11.41,11.48,10.7,10.96,10.72,9.6,7.14,7.86
Ba Đình,13.31,10.98,10.65,10.1,11.29,11.23,10.16,7.67,5.16,4.69
Hoàn Kiếm,12.46,12.81,12.68,10.41,9.43,9.16,8.52,6.12,0.99,3.39
Tây Hồ,12.22,11.87,10.36,10.42,9.07,8.29,7.97,8.26,3.3,-0.22
Long Biên,13.66,13.51,13.4,13.16,12.2,12.57,12.68,11.22,9.49,3.56
Cầu Giấy,11.8,11.66,11.81,11.98,11.4,12,12.34,12,10.46,9.02
Đống Đa,11.35,10.36,9.17,8.76,7.75,6.32,6.31,5.72,1.65,5.37
Hai Bà Trưng,8.07,6.01,5.2,6.72,7.21,6.84,6.57,5.09,0.29,10.52
Hoàng Mai,12.33,11.25,10.64,10.57,8.46,11.02,10.22,10.18,9.08,9.36
Thanh Xuân,10.5,10.36,10.5,10.5,10.5,10.25,10.6,10.51,9.52,9.36
Sóc Sơn,17.97,16.27,15.05,15.08,14.68,14.15,13.76,11.94,8.89,13.04
Đông Anh,15.43,14.07,12.95,12.55,10.94,11.23,10.61,10.18,5.71,9.28
Gia Lâm,12.83,12.59,12.81,12.29,12.09,12.21,10.97,11.29,7.57,9.19
Nam Từ Liêm,13.93,13.39,13.48,13.44,12.74,13.55,13.33,13.34,12.73,7.53
Thanh Trì,15.35,11.18,15.81,14.2,12.34,12.25,11.89,11.13,9.92,8.23
Bắc Từ Liêm,10.65,10.71,10.63,10.71,10.56,10.6,10.53,10.61,9.91,10.34
Mê Linh,17.05,17.85,14.37,15.77,13.27,13.3,13.54,11.32,7.59,8.45
Hà Đông,12.56,9.28,11.49,10.09,10.71,9.88,11.88,7.87,7.21,5.74
Sơn Tây,11.39,9.77,10.1,9.39,9.52,10.68,7.76,6.69,4.1,8.28
Ba Vì,13.51,12.62,11.24,12.61,12.54,9.93,11.46,9.84,7.21,9.52
Phúc Thọ,11.46,10.78,11.37,10.47,9.77,10.96,10.04,9.61,8.39,7.08
Đan Phượng,14.73,13.66,10.65,11.89,10.78,10.71,10.47,10.15,6.39,9.67
Hoài Đức,14.26,13.42,12.2,11.92,10.61,13.28,10.99,10.49,6.35,7.99
Quốc Oai,15.58,12.7,11.57,11.75,10.36,10.98,10.56,10.25,6.71,9.34
Thạch Thất,11.96,11.64,9.96,12.22,11.13,10.64,12.05,10.18,7.6,9.02
Chương Mỹ,12.53,12.17,11.01,10.78,11.33,12.01,11.45,11.14,7.09,6.64
Thanh Oai,12.97,10.87,11.2,13.64,11.5,10.35,12.1,9.15,6.62,5.82
Thường Tín,12.14,11.44,10.42,11.98,10.78,10.86,9.87,7.71,5.18,5.29
Phú Xuyên,13.38,11.95,11.61,12.58,9.52,11.31,11,7.65,10.1,6.59
Ứng Hoà,9.44,9.55,8.46,9.04,7.91,11.2,7.98,6.28,3.04,8.26
Mỹ Đức,15.19,8.94,12.71,10.77,10.13,10.33,10.18,9.92,7.89,9.01
